source;region;zone;date;cases;type;Nationalite
communique 42;DAKAR;AIBD;2020-04-12;19;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-13;11;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-13;7;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-14;8;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-14;5;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-15;15;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-15;7;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-16;21;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-16;4;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-17;7;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-17;4;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-18;8;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-18;13;GUERIS;
communique 43;DAKAR;AIBD;2020-04-18;1;DECES;
communique 43;DAKAR;DAKAR;2020-04-19;17;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-19;9;GUERIS;
communique 43;DAKAR;AIBD;2020-04-20;2;DECES;
communique 43;DAKAR;DAKAR;2020-04-20;10;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-20;15;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-21;35;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-21;7;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-22;30;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-22;11;GUERIS;
communique 43;DAKAR;AIBD;2020-04-22;1;DECES;
communique 43;DAKAR;DAKAR;2020-04-23;37;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-23;4;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-24;66;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-24;5;GUERIS;
communique 43;DAKAR;DAKAR;2020-04-25;69;CONFIRMES;NA
communique 43;DAKAR;AIBD;2020-04-25;14;GUERIS;
communique 43;DAKAR;AIBD;2020-04-25;1;DECES;
